Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,Buzzer_12x9.5RM7.6,126.59,-125.49,0,top
C1,1.0uF,C_0603_1608Metric,126.375,-95.987325,0,top
C2,1.0uF,C_0603_1608Metric,129.4,-95.987325,180,top
J1,T1M-10-F-SV-L,SAMTEC_T1M-10-F-SV-L,130.4575,-86.9,90,top
J2,Conn_02x20_Odd_Even,Pi_PinSocket_2x20,140.5,-81.62,0,top
J3,T1M-06-X-DV,SAMTEC_T1M-06-X-DV,128.5,-109.775,-90,top
J4,Screw_Terminal_01x10,PinHeader_1x10_P2.54mm_Vertical,117.75,-98.025,0,top
J5,Conn_01x02,Molex_Micro-Fit_3.0_43650-0210_1x02-1MP_P3.00mm_Horizontal,119.4,-87.615,180,top
J6,Conn_01x03,Molex_Micro-Fit_3.0_43650-0310_1x03-1MP_P3.00mm_Horizontal,128.48,-125.5,90,top
R1,10K,R_0603_1608Metric,134.9,-82.375,-90,top
R2,10K,R_0603_1608Metric,132.8,-82.4,-90,top
U1,DRV2605LDGS,VSSOP-10_3x3mm_P0.5mm,128.2,-98.782325,180,top
